Timestamp,Sens1,Sens2,Sens3,Wroclaw
2025-05-05 16:00:47.693517,23.51,24.42,,
2025-05-05 17:15:51.668335,22.91,23.97,,
2025-05-05 17:18:28.241816,22.97,23.9,,
2025-05-05 17:20:53.329904,23.04,,,
2025-05-05 17:25:30.327070,23.07,23.7,,11.14
2025-05-05 17:28:34.624187,23.07,23.69,,11.29
2025-05-05 17:30:49.427329,23.11,23.68,,11.29
2025-05-05 17:33:18.914368,23.19,23.7,,11.21
2025-05-05 17:35:34.107801,23.18,23.69,,11.21
2025-05-05 17:37:51.235570,23.17,23.68,,11.21
2025-05-05 17:40:06.471993,23.21,23.74,,11.21
2025-05-05 17:42:21.590116,23.2,23.75,,11.0
2025-05-05 17:44:57.287230,23.22,23.74,,11.0
2025-05-05 17:47:14.507086,23.24,,,10.94
2025-05-05 17:49:44.037863,23.26,23.69,,10.94
2025-05-05 17:52:01.195616,23.24,23.63,,10.94
2025-05-05 17:54:43.051676,23.27,23.59,,11.0
2025-05-05 17:57:06.414216,23.27,23.53,,11.0
2025-05-05 17:59:37.933709,23.29,23.54,,11.0
2025-05-05 18:02:11.525330,23.29,23.5,,11.0
2025-05-05 18:05:30.693392,23.32,23.51,,11.0
2025-05-05 18:09:11.953704,23.31,,,10.85
2025-05-05 18:47:59.361425,23.25,23.77,,10.34
2025-05-05 18:50:52.079795,23.2,23.82,,10.33
2025-05-05 19:10:52.080717,23.15,23.42,,9.9
2025-05-05 19:30:52.080902,23.1,23.79,,9.54
2025-05-05 19:50:52.081100,22.96,23.69,23.33,
2025-05-05 20:10:52.081397,22.93,23.7,23.36,
2025-05-05 20:30:52.081612,22.85,23.6,23.45,
2025-05-05 20:50:52.081770,22.73,23.55,23.46,
2025-05-05 21:10:52.082110,22.6,,23.43,
2025-05-05 21:30:52.082438,22.62,23.85,23.49,7.15
2025-05-05 21:50:52.082695,22.54,23.67,23.49,6.52
2025-05-05 22:10:52.083030,22.4,,23.36,
2025-05-05 22:30:52.083266,22.27,,23.16,
2025-05-05 22:50:52.083549,22.05,23.46,23.12,5.94
2025-05-05 23:10:52.083692,22.0,23.39,22.98,5.55
2025-05-05 23:30:52.083911,21.83,23.26,22.83,5.39
2025-05-05 23:50:52.084102,21.69,23.19,22.69,4.77
2025-05-06 09:00:35.554513,27.8,,23.12,9.27
2025-05-06 09:03:11.245126,27.96,22.72,23.13,9.27
2025-05-06 09:23:11.248675,25.32,22.66,23.26,9.97
2025-05-06 09:43:11.245959,24.05,23.07,23.28,10.87
2025-05-06 10:03:11.246180,23.68,23.29,23.39,10.31
2025-05-06 10:23:11.246349,23.4,23.4,23.46,10.55
2025-05-06 10:43:11.246536,23.29,23.27,23.45,11.18
2025-05-06 11:03:11.246673,23.33,,23.47,11.16
2025-05-06 11:23:11.246904,23.16,22.51,23.4,
2025-05-06 11:43:11.247096,23.21,22.61,23.59,
2025-05-06 12:03:11.246983,23.08,22.69,23.45,
2025-05-06 12:23:11.247584,23.13,,23.68,
2025-05-06 12:43:11.247738,23.15,22.56,23.72,
2025-05-06 13:03:11.247967,24.1,22.7,22.21,
2025-05-06 13:23:11.248201,24.18,22.84,21.89,
